Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Page Quantity (product.metafields.custom.page_quantity),Page size (product.metafields.custom.page_size),page weight (product.metafields.custom.page_weight),Color (product.metafields.shopify.color-pattern),Page size (product.metafields.shopify.page-size),Paper type (product.metafields.shopify.paper-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
מארז-בלוקים-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0221_7f32bdfe-06a4-4cac-9300-781ebedf219f.jpg?v=1770563944,2,"",,,,,,,,,,,,,,
מארז-בלוקים-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0219-Edit_46babbe8-ab29-40e5-8fdd-bd72e803eef0.jpg?v=1770826979,3,"",,,,,,,,,,,,,,
מארז-בלוקים-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0221_afc87196-c3a1-4e3d-a7b2-6a14ec38a49b.jpg?v=1770826909,4,"",,,,,,,,,,,,,,
מארז-בלוקים-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0218-Edit-2_3688235c-f892-4a7b-9d27-79908c6d7e63.jpg?v=1770827030,5,"",,,,,,,,,,,,,,
מארז-בלוקים-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0217-Edit-2_b2367541-3ffd-462e-93af-5190af2ef5d5.jpg?v=1770827111,6,"",,,,,,,,,,,,,,
מארז-בלוקים-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0214-Edit-3_66e8b6be-b39a-499f-a169-0a6517efdd83.jpg?v=1770827006,7,"",,,,,,,,,,,,,,
מארז-מחברות,מארז מחברות,"<p><strong>שני גדלים. לכל מחשבה</strong></p>
<p><meta charset=""utf-8"">מחברת שורות קטנה2x | מחברת שורות בינונית 2x</p>",MothersDay,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5449.jpg?v=1771313161,1,"",false,,,,,,,,,,kg,,,active
מארז-מחברות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5450-Edit.jpg?v=1771313161,2,"",,,,,,,,,,,,,,
מארז-מחברות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5449_994e5506-bea3-4b07-83c2-fd2861e383ed.jpg?v=1771313161,3,"",,,,,,,,,,,,,,
מארז-מחברות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5476.jpg?v=1771314549,4,"",,,,,,,,,,,,,,
מארז-מחברות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5447-Edit_2fd885cf-5dc0-4fdc-8bfd-136f1a19a7e3.jpg?v=1771313640,5,"",,,,,,,,,,,,,,
מארז-מחברות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0232-Edit.jpg?v=1771313562,6,"",,,,,,,,,,,,,,
מארז-מחברות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5450-Edit_298d6432-5898-4c83-b2c9-53a9cea03cc0.jpg?v=1771314594,7,"",,,,,,,,,,,,,,
מארז-תכנון,מארז תכנון,"<p><meta charset=""utf-8""><strong>פיתרון שלם בבית</strong></p>
<p>תכנון שבועי |תכנון ארוחות |תכנון קניות וסידורים</p>
<p> </p>
<p> </p>
<p><br></p>
<p> </p>",MothersDay,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5455.jpg?v=1771313966,1,"",false,,,,,,,,,,kg,,,active
מארז-תכנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5457-Edit.jpg?v=1771313966,2,"",,,,,,,,,,,,,,
מארז-תכנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5455_de8e060c-be27-4c2f-b05c-d80e13d94688.jpg?v=1771313966,3,"",,,,,,,,,,,,,,
מארז-תכנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5517-Edit.jpg?v=1771313966,4,"",,,,,,,,,,,,,,
מארז-תכנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0231_2f6a9083-f2d3-4249-a41e-6f1774fb09fa.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-תכנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0223-Edit_60eacef0-4dba-46af-a35d-6b712eb5e435.jpg?v=1771313966,6,"",,,,,,,,,,,,,,
מארז-תכנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0229_e542a252-fd09-413c-8b0a-b5b4e71ef240.jpg?v=1771313966,7,"",,,,,,,,,,,,,,
מארז-יין,מארז יין,"<p><strong>פיתרון שלם במטבח</strong></p>
<p>תכנון ארוחות |בלוק גדול</p>",MothersDay,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5466-Edit_c03141f0-d547-4506-bf57-3475b723d9ff.jpg?v=1771313896,1,"",false,,,,,,,,,,kg,,,active
מארז-יין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5469-Edit.jpg?v=1771313896,2,"",,,,,,,,,,,,,,
מארז-יין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5468-Edit.jpg?v=1771313896,3,"",,,,,,,,,,,,,,
מארז-יין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5499-Edit.jpg?v=1771313896,4,"",,,,,,,,,,,,,,
מארז-יין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0223-Edit_60eacef0-4dba-46af-a35d-6b712eb5e435.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-יין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0218-Edit-2_1493d0ed-54b6-43b9-9de3-2e13d07ef0a0.jpg?v=1771313896,6,"",,,,,,,,,,,,,,
מארז-פודרה,מארז פודרה,"<p><strong>פיתרון שלם בפינת העבודה</strong></p>
<p>תכנון שבועי |מחברת בינונית |בלוק בינוני</p>",MothersDay,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0276-Edit_82bccc41-9495-471b-afe9-f37ef099057e.jpg?v=1770564062,1,"",false,,,,,,,,,,kg,,,active
מארז-פודרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5470-Edit.jpg?v=1771313640,2,"",,,,,,,,,,,,,,
מארז-פודרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5473-Edit.jpg?v=1771313640,3,"",,,,,,,,,,,,,,
מארז-פודרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5497-Edit.jpg?v=1771313640,4,"",,,,,,,,,,,,,,
מארז-פודרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0229_e542a252-fd09-413c-8b0a-b5b4e71ef240.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-פודרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5447-Edit_2fd885cf-5dc0-4fdc-8bfd-136f1a19a7e3.jpg?v=1771313640,6,"",,,,,,,,,,,,,,
מארז-פודרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0217-Edit-2_8824c653-af2b-426c-b739-1971ef7b70d7.jpg?v=1771313640,7,"",,,,,,,,,,,,,,
מארז-אבן,מארז אבן,"<p><strong>פיתרון שלם בתיק</strong></p>
<p>ֿתכנון קניות וסידורים | מחברת קטנה | בלוק קטן</p>",MothersDay,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5459-Edit.jpg?v=1771313562,1,"",false,,,,,,,,,,kg,,,active
מארז-אבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5462.jpg?v=1771313562,2,"",,,,,,,,,,,,,,
מארז-אבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5462_91b8822b-52b2-4651-92d7-c01b3f793b71.jpg?v=1771313562,3,"",,,,,,,,,,,,,,
מארז-אבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/S2A5493-Edit.jpg?v=1771313562,4,"",,,,,,,,,,,,,,
מארז-אבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0231_2f6a9083-f2d3-4249-a41e-6f1774fb09fa.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-אבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0232-Edit.jpg?v=1771313562,6,"",,,,,,,,,,,,,,
מארז-אבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0214-Edit-3_5ce933fb-ef1a-41bd-8782-4348946fd945.jpg?v=1771313562,7,"",,,,,,,,,,,,,,
